name,movie,drama
Doodoong Pictures,True,True
Onu Film,True,False
Bandai Namco Arts,True,False
HODU&U Pictures,True,True
BRB Internacional,True,True
M3 Entertainment,True,False
BA Entertainment,True,True
Se Jong Films,True,False
Connect Pictures,True,False
Studio Pieona,True,False
Say On Media,False,True
Soul Film (KR),True,False
Pixef,False,True
KTB Capital,True,False
Acemaker Movieworks,True,True
Hung Chi Enterprises,True,False
Kunst Halle Sankt Gallen,True,False
Hwang Gi-seong Inc.,True,False
Korea National Opera,True,False
50/50 Films DC,True,False
Film Dabin,True,False
"Line Communications.,Inc.",True,False
Shinyoung E&C Group,False,True
Dice Film,True,False
iHQ,True,True
Ahnsworld,True,False
Armageddon Production Committee,True,False
CGNTV,True,False
Softbank Ventures,True,False
THE SHOOT media,True,False
Focus Features,True,False
Cinerock Pictures,True,False
Contents On Media,True,False
Channel A,False,True
Dukyoung Production,True,False
FilmZ,True,False
Studio & New,True,True
UNU,False,True
iMBC,True,True
Youth Film Studio of Beijing Film Academy,True,False
Warner Bros. Television,False,True
KTB Network,True,False
Joseon movie,True,False
CM PICTURES,True,False
Mygenomebox Studio,True,False
Dae Ryuk Kinema Co.,True,False
Sonamu Pictures,True,False
Sung-Il Cinemart,True,False
Roh Hoe-chan Foundation,True,False
Bomnae Films,True,False
Geumkang Cinema,True,False
MYSTIC STORY,True,True
Water in Tree Pictures,True,False
Dooson Cinema,True,False
East Dream Synopex,True,False
青春年华（北京）文化传媒有限公司,True,False
RED DOOR STUDIO,False,True
National Union of Mediaworkers,True,False
Actor's Ville,True,False
Studio K,False,True
파파스필름,True,False
Miracin Korea,True,False
Digital Dream Studios,True,False
S.K.C.,True,False
Kidari Studio,True,False
SVA MFA Computer Arts,True,False
Goryeo Kinema,True,False
Tin House Productions,True,False
Lawrence Bender Productions,True,False
M&CF,True,False
Diaphana Edition Video,True,False
IMTV,True,True
골든타이드픽처스,True,False
nds5317,True,False
Y NOT Studios,False,True
KP and SHOW,False,True
TimeStory Group,True,False
Hanhwa Venture Capital,True,False
BOOKCUBE,False,True
Lian Entertainment,True,True
Young Hwa Film,True,False
Jiwon Choi,True,False
Yeo Reum Dal,True,False
Wysiwyg Studios,True,True
Korea Story,True,False
Toilet Pictures,True,False
(주) 씨네코뮨,True,False
"Yun Bang Films Co., Ltd.",True,False
Broccoli Pictures,True,False
Corea Entertainment,True,False
아이돌로맨스,False,True
The LAMP,True,True
Little Wave Productions,True,False
Apple,True,False
Taewon Entertainment,True,True
Studio Comet,False,True
Ulsan MBC,True,False
Toyou's Dream,True,False
TVING,True,True
Directors Guild of Korea,True,True
Wind Up Film,True,False
Ltd. MBC,True,False
DCG Plus,True,False
Matchbox,True,False
Woojeong Film,True,False
Chung-Kang College of Cultural Industries,True,False
Dexter Studios,True,True
RG Enterworks,True,False
(주)영화사히트,True,False
Daemyung Culture Factory,True,False
Moonlight Film,True,True
Timewise Investment,True,False
Central Park Films,True,False
ABJ_COMPANY,False,True
Box Media,False,True
(주)가온콘텐츠,True,False
Anglee the Filmmaker,True,False
The Weinstein Company,True,False
GENIE MUSIC,True,False
Ilshin Capital Investments,True,False
Whynot Media,True,True
몽작소,False,True
영화사 다,True,False
Dart Film & Video,True,False
image9comms,False,True
Nice Ninja,True,False
Incheon Film Commission,True,False
Cinema Service,True,False
Booyoung Entertainment,True,False
Eunyoung Film,True,False
Art Service,True,False
Nabi Pictures,True,False
Pledis Entertainment,True,True
Muju Film Festival,True,False
NOWFILM,True,False
Urban Works,False,True
Next Entertainment World,True,True
Tiger Pictures,True,False
Korea Films,True,False
Kilandeun film,True,False
Chun-woo Movie,True,False
The Pictures with a View,True,False
Taehung Pictures,True,False
Noori Pictures,True,False
Owl Pictures,True,False
"Hyunjin Film Co., Ltd.",True,False
Cineraga Pictures,True,False
BK Pictures,True,False
TAKEONE STUDIO,True,False
Lezhin Entertainment,True,False
(주)픽쳐레스크,True,False
Namil Film History,True,False
"Gyeong Yang Films Co., Ltd",True,False
Studio 오후출근,True,False
Toei Animation,True,False
트릭스터,True,False
Moho Film,True,False
EMK Musical Company,True,False
Zhao Wei Films,True,False
Secondwind Film,True,False
CMG Chorokstars,False,True
Cartoon Network Studios,True,False
Red Q,True,True
Contents G,True,False
GoAndGo Film,True,False
Dong Seo Films,True,False
Banddo Films,True,False
Nara International Film Festival,True,False
Seoul Movie,True,True
Tae Chang Enterprises,True,False
TAKE2,False,True
Jia's Motion Picture (H.K.) Co.,True,False
Ministry of Unification,True,False
Studio Toyou,True,False
Moviengine,True,False
IMM Venture Capital,True,False
Youth Film,False,True
블루블랙(주),True,False
Bridge Works,True,False
INSTER Invent Stone copr.,True,False
한국독립애니메이션협회,True,False
Koryo Film Association,True,False
KM Culture,True,False
Sidney Kimmel Entertainment,True,False
Jinju Namhyang Kinemasa,True,False
Dolby illustration,True,False
tvN Story,False,True
Studio Dragon,True,True
BETTY & Creators,False,True
Content Zio,True,False
(주)에스비엠엔이,True,False
IFD Films & Arts Ltd.,True,False
Yeonhwa Film Corporation,True,False
Full Film,True,False
CREAHUB,False,True
AFDF,True,False
Mir Film,True,False
Mountain Movement Story,True,True
Studio Eon,False,True
파인스토리,True,False
Anti-Archive,True,False
Dong-kwang Films,True,False
Smile Ent.,True,False
Studio Flow,False,True
AbemaTV,False,True
Daewon Media,False,True
Woollim,True,False
Zoa Films,True,False
ADV Films,True,False
Jeonju Film Commission,True,False
STUDIO706,True,False
A-1 Pictures,False,True
Wellmade Entertainment,True,False
OCON STUDIOS,True,True
Jang San Got Mae,True,False
KiHweck ShiDae,True,False
Our Joyful Young Days,True,False
Yong Film,True,True
ISU C&E,True,False
Happy End Filmproductions,True,False
Bando Kinema,True,False
Rear Window,True,False
SURPLUS PROJECT,True,False
YouTube Red,False,True
ENA,False,True
필름그리다,False,True
C-STORY,False,True
4.16 세월호 참사 시민기록위원회,True,False
Dae Han Yeon Hap Films,True,False
Harimao Pictures,True,False
Sejong Cultural Production,True,False
A-Po Films,True,False
베러투모로우,True,False
PICORD FILM,True,False
Busan DR,False,True
SnowPiercer,True,False
