name,movie,drama
alone,True,False
travel,True,True
delinquent,False,True
fashion,True,True
female writer,False,True
ex-cop,True,False
shyness,False,True
buried memories,True,False
dancing,True,True
qing dynasty,True,False
ghosting,False,True
kuala lumpur,True,False
comedian,True,True
nation,False,True
communism,True,False
vampire,True,True
korean minority,True,False
corrupt legal system,False,True
redemption,False,True
adapted from a webtoon,False,True
radio station,True,True
claustrophobia,True,False
artist,True,True
road movie,True,False
jewelry,False,True
lottery ticket,True,False
terminal illness,True,True
sports drama,False,True
hidden identity,True,True
sexual assault,True,False
pet owner reunion,True,False
bag of money,True,False
china,True,False
lost child,False,True
chinese history,False,True
forensic pathologist,True,False
maniac,True,False
trip,False,True
crying,True,False
older junior,False,True
bomb,True,False
campus,True,False
rural setting,True,False
female friendship,True,True
hard boiled,True,False
student protest,True,False
"paris, france",True,False
love,True,True
ambition,True,True
teenage protagonist,True,False
election,True,True
arrogance,False,True
juventude,False,True
newlywed,False,True
ceramic,False,True
stuffed toy animal,True,False
poor couple,True,False
private eye,True,False
rehabilitation,True,False
buddy,True,False
religion,True,True
blood,True,True
baby,True,True
gym,True,False
hatred,False,True
industry,True,False
turkish soldier,True,False
butler,True,False
truck,True,False
family conflict,True,True
marriage crisis,True,False
unlucky,False,True
stepmother,True,False
news broadcaster,False,True
love letter,True,False
ghost story,True,True
child sex trade,True,False
time slip,True,True
mayor,True,True
impersonation,False,True
time rift,True,False
rich vs poor,False,True
real life,False,True
handmade,True,False
searching for biological parents,False,True
helicopter,True,False
sister sister relationship,True,True
kindness,True,False
father son reunion,True,False
private loan,True,False
diversity,True,False
investigator,False,True
collectivism,True,False
irreverent,False,True
homosexuality,True,True
sexual exploitation,True,False
erotic,True,False
healing,True,True
rat,True,False
punter,True,False
shower,True,False
zero waste,True,False
closing ceremony,True,False
post war,True,False
kim dae-jung,True,False
shop owner,False,True
penguin,True,True
film noir,True,True
human vampire relationship,False,True
forgotten memory,False,True
ufo,True,True
celebrity interview,False,True
political campaign,True,True
high school crush,False,True
live stream,True,False
stranded,True,False
way of life,False,True
missile threat,True,False
murder mystery,True,True
mistake,True,True
character manipulation,True,False
jury,True,False
robot girl,False,True
tailor,True,False
finding love,True,False
vigilante,False,True
interrogation,True,False
inheritance,True,True
sageuk,False,True
pervert,True,False
husband,True,False
2nd century,False,True
gaslighting,False,True
secret crush,True,True
hardworking female lead,False,True
immigration,True,False
overweight woman,True,False
government conspiracy,True,True
organ harvest,True,False
sibling,True,True
riches to rags,False,True
east asian lead,True,False
veterinarian,False,True
hired killer,True,False
fictional game show,False,True
taxi,True,True
photographer,True,True
bridge,True,False
invisibility,False,True
brotherhood,True,True
arrogant girl,False,True
sympathy,False,True
emby,True,False
anger issues,False,True
saturday,False,True
city life,True,False
pirate gang,True,False
cheerleader,True,True
dream,True,True
humanity,True,False
fight for justice,False,True
bakery,True,False
promotion,False,True
유퀴즈,False,True
religious leader,False,True
airplane,True,False
isolation,True,False
adaptation,True,True
heir,False,True
succubus,False,True
family relationships,True,True
pollution,True,False
computer programmer,False,True
pacific war,True,False
working class,True,False
intimacy,True,False
classical music,False,True
winning lottery,True,False
hostel,True,True
airport,False,True
hacking,True,False
nightmare,True,False
problem solver,False,True
usa–mexico border,True,False
brother sister relationship,True,True
anarchist,True,False
zombie school records,True,False
ma dong seok,True,False
online game,True,False
stalking,True,True
fisherman,True,False
idol drama,False,True
photography,True,True
time machine,True,False
truck driver,True,False
exile,True,False
future,True,True
sinking ship,True,False
pasta,True,False
wrongful suspicion,False,True
daegu,True,False
congress,False,True
fire accident,False,True
office romance,True,True
businessman,False,True
stardom,True,False
mystery,True,True
adoption,True,True
lost dog,True,False
psychic power,True,False
memory,True,False
neighborhood,True,False
insulin,True,False
heartwarming,True,False
folk tale,True,False
trot music,True,True
cycling,False,True
vj,True,False
